year,ccode,factbook_imr_sqrt,factbook_gdppcgrowth.combined,factbook_popsize.ln.combined
2017,700,7.176350047,4,17.43296678
2018,700,6.920982589,-4,17.4553203
2020,700,6.819090848,-2.4464989,18.69404295
2021,700,6.708203932,-17.832205,18.70182082
2012,531,6.08276253,7,15.02670125
2013,531,6,7,15.02710623
2014,531,5.916079783,1.7,15.02987716
2015,531,5.839520528,4.8,15.03277957
2016,531,5.73585216,0,15.03203032
2017,531,5.66568619,0,15.03330342
2018,531,5.594640292,0,15.03798514
2019,531,5.594640292,5,15.0409405
2020,531,5.522680509,5,17.88596332
2021,531,5.449770637,5,17.89202817
2015,731,4.69041576,-2,17.09959643
2016,731,4.69041576,-1,17.10404453
2017,731,4.69041576,-4,17.11378999
2018,731,4.69041576,-5,17.11614331
2019,731,4.472135955,-1.6580903,17.11783669
2020,731,4.734976241,-1.6580903,18.55602599
2021,731,4.712748667,-1.6580903,18.5573866
2018,812,6.131883887,5,15.83526844
2020,812,6.033241252,-0.4998044,18.12770648
2021,812,5.941380311,1.2128447,18.13249001
2017,450,7.476630257,0,15.42922332
2021,450,7.6223356,2.4194658,18.01300931
2018,553,5.941380311,0,16.79036439
2020,553,5.558776844,-0.2042396,18.4541414
2021,553,5.385164807,1.3957372,18.46315843
2015,910,6.670832032,3.4845039,15.973093
2016,910,6.565059025,0.6976563,15.99289064
2017,910,6.46529195,0.9436279,16.00983872
2018,910,6.164414003,-0.5096082,16.01892925
2019,910,6.164414003,3.7508183,16.02912782
2020,910,5.991660872,-4.040428,18.19753645
2021,910,5.93295879,0.3696942,18.20396543
2000,520,10.26157883,,16.05948512
2001,520,10.26157883,3,16.09201961
2002,520,10.26157883,3.5,16.1253046
2003,520,10.26157883,2.1,16.1624675
2004,520,10.26157883,2.8,16.19442408
2005,520,10.26157883,2.4,16.22212678
2006,520,10.2420701,2.6,16.25503187
2007,520,10.19313494,2.6,16.28355161
2008,520,10.10940156,2.6,16.31017197
2009,520,10,2.6,16.33373915
2010,520,9.889388252,2.6,16.36408191
2011,520,9.751922887,2.6,16.39285432
2012,520,9.622889379,2.6,16.42063432
2013,520,9.49210198,2.6,16.44774898
2017,626,7.90569415,-0.65,16.25737574
2018,626,7.981227976,-0.65,16.26518632
2019,626,7.981227976,-5.2,16.26931174
2020,626,7.899367063,-5.2,18.27318488
2021,626,7.956129712,-5.2,18.2787985
2021,652,4.289522118,-14,18.43871577
2000,713,,5,16.99030784
2001,713,,-2,16.98942542
2002,713,,5,16.99502249
2003,713,,3,16.99680164
2004,713,,6,17.00177228
2005,713,,5,17.00586015
2006,713,,5,17.01324568
2007,713,,6,17.018157
2008,713,,0,17.01655393
2009,713,,-2,17.01796062
2010,713,,10,17.02379489
2011,713,2.275961335,3,17.02572659
2012,713,2.144761059,2,17.03259879
2013,713,2.133072901,2,17.03057593
2014,713,2.11896201,4,17.03175934
2015,713,2.107130751,0,17.03424757
2016,713,2.097617696,1,17.03591881
2017,713,2.073644135,3,17.04087091
2018,713,2.073644135,3,17.04009168
2019,713,2.073644135,3,17.0409647
2020,713,2.049390153,3,17.0409647
2021,713,2.00748599,3,17.0409647
2019,679,6.549809158,-5.9,17.22365211
2020,679,6.603029608,-5.9,18.60410757
