"","variable","coef.full","or.full","coef.offsetdecay","or.offsetdecay"
"1","(Intercept)","-0.0525",0.9489,"-0.0525",0.9489
"2","widetargeting","0",1,"0",1
"3","narrowtargeting","0.0949",1.0995,"0.0949",1.0995
"4","v2csgender_binary","0",1,"0",1
"5","v2mecenefm_binary","0",1,"0",1
"6","partyban.new.0","-0.2668",0.7658,"-0.2668",0.7658
"7","partyban.new.1","0.2716",1.312,"0.2716",1.312
"8","partyban.new.2","0",1,"0",1
"9","minorityrule","0",1,"0",1
"10","judicialreform","0",1,"0",1
"11","religiousfreedom","0",1,"0",1
"12","pol_killing_approved","0.4904",1.633,"0.4904",1.633
"13","freediscussion","0",1,"0",1
"14","social_inequality","0.0059",1.0059,"0.0059",1.0059
"15","even_civilrights","-0.8221",0.4395,"-0.8221",0.4395
"16","repress_civilsoc","-0.0233",0.9769,"-0.0233",0.9769
"17","social_power_dist","0.1916",1.2112,"0.1916",1.2112
"18","ses_power_dist","-0.0533",0.9481,"-0.0533",0.9481
"19","wdi.popsize.log2","0.1317",1.1407,"0.1317",1.1407
"20","gdppcgrowth.combined","0",1,"0",1
"21","tradeshare.log2.combined","-0.0097",0.9903,"-0.0097",0.9903
"22","imr.fwd.fill.sqrt","0.0905",1.0947,"0.0905",1.0947
"23","efindex","0.1625",1.1765,"0.1625",1.1765
"24","discrimpop","0.9014",2.463,"0.9014",2.463
"25","reg.na","-0.5451",0.5798,"-0.5451",0.5798
"26","reg.eap","0",1,"0",1
"27","reg.sca","0.247",1.2801,"0.247",1.2801
"28","reg.mna","0",1,"0",1
"29","reg.eur","-0.0114",0.9887,"-0.0114",0.9887
"30","ios.iccpr1","-0.1226",0.8846,"-0.1226",0.8846
"31","battledeaths.ln2","0.0339",1.0345,"0.0339",1.0345
"32","coup.try.5yr","0.65",1.9155,"0.65",1.9155
"33","mk_ongoing_count_log","0",1,"0",1
"34","mean_mk_onset_interaction","0",1,"0",1
"35","mk_onset_prev_year","-0.0813",0.9219,"-0.0813",0.9219
"36","newcountry","0.6116",1.8434,"0.6116",1.8434
"37","mk_ever","0.4744",1.6071,"0.4744",1.6071
"38","year_sq","0",1,"0",1
"39","year","-0.0022",0.9978,"-0.0022",0.9978
"40","countryage_new_ln","0",1,"0",1
"41","includesnonstate","0",1,"0",1
"42","offset_decay",NA,NA,"0",1
