"","variable","coef.full","or.full","coef.offsetdecay","or.offsetdecay","coef.simple","or.simple"
"1","(Intercept)","-0.7432",0.4756,"-1.3905",0.2489,-5.4561,0.0043
"2","widetargeting","0",1,"0",1,NA,NA
"3","narrowtargeting","0.1194",1.1268,"0.1181",1.1253,NA,NA
"4","womencivsoc","0",1,"0",1,NA,NA
"5","govcensorship","0",1,"0",1,NA,NA
"6","partyban.new.0","-0.2659",0.7665,"-0.2453",0.7825,NA,NA
"7","partyban.new.1","0.2757",1.3175,"0.284",1.3285,NA,NA
"8","partyban.new.2","0",1,"0",1,NA,NA
"9","minorityrule","0",1,"0",1,NA,NA
"10","judicialreform","0.0131",1.0132,"0",1,NA,NA
"11","religiousfreedom","0",1,"0",1,NA,NA
"12","pol_killing_approved","0.5083",1.6624,"0.4949",1.6403,NA,NA
"13","freediscussion","0",1,"0",1,NA,NA
"14","social_inequality","0.0115",1.0115,"0.0081",1.0081,NA,NA
"15","even_civilrights","-0.8347",0.434,"-0.8188",0.441,NA,NA
"16","repress_civilsoc","-0.0303",0.9702,"-0.018",0.9822,NA,NA
"17","social_power_dist","0.2161",1.2412,"0.2013",1.223,NA,NA
"18","ses_power_dist","-0.0558",0.9457,"-0.0533",0.9481,NA,NA
"19","wdi.popsize.log2.combined","0.1383",1.1483,"0.1359",1.1456,NA,NA
"20","wdi.gdppcgrow.new.combined","0",1,"0",1,NA,NA
"21","wdi.trade.new.log2.combined","-0.0112",0.9889,"-0.0101",0.9899,NA,NA
"22","un_imr_sqrt","0.0923",1.0967,"0.0928",1.0973,0.1982,1.2192
"23","efindex","0.1534",1.1658,"0.1482",1.1598,NA,NA
"24","discrimpop","0.9164",2.5003,"0.9112",2.4872,NA,NA
"25","reg.na","-0.5797",0.5601,"-0.5556",0.5737,NA,NA
"26","reg.eap","0.0041",1.0041,"0",1,NA,NA
"27","reg.sca","0.253",1.2879,"0.2559",1.2916,NA,NA
"28","reg.mna","0",1,"0",1,NA,NA
"29","ios.iccpr1","0",1,"0",1,NA,NA
"30","battledeaths.ln2","0.033",1.0336,"0.0328",1.0334,NA,NA
"31","coup.try.5yr","0.6642",1.943,"0.6565",1.9281,NA,NA
"32","mk_ongoing_count_log","0",1,"0",1,0.6922,1.9982
"33","mean_mk_onset","-0.2825",0.7539,"-0.2071",0.8129,NA,NA
"34","mk_onset_prev_year","-0.0966",0.908,"-0.0747",0.928,NA,NA
"35","newcountry","0.6736",1.9613,"0.6533",1.9219,NA,NA
"36","mk_ever","0.512",1.6686,"0.4947",1.6401,NA,NA
"37","year_sq","0",1,"0",1,NA,NA
"38","countryage_new_ln","0",1,"0",1,NA,NA
"39","includesnonstate","0",1,"0",1,NA,NA
"40","offset_decay",NA,NA,"0",1,NA,NA
