"","variable","coef.full","or.full","coef.offsetdecay","or.offsetdecay","coef.bd","or.bd"
"1","(Intercept)","11.041",62382.616,"11.9937",161738.1824,"12.9888",437475.1581
"2","year","-0.0063",0.9937,"-0.0067",0.9934,"-0.007",0.9931
"3","widetargeting","0",1,"0",1,"0",1
"4","narrowtargeting","0.1809",1.1983,"0.1913",1.2108,"0.1791",1.1962
"5","womencivsoc","-0.0209",0.9793,"-0.0414",0.9595,"-0.0392",0.9615
"6","govcensorship","0",1,"0",1,"0",1
"7","partyban.new.0","-0.3274",0.7208,"-0.3385",0.7129,"-0.3413",0.7109
"8","partyban.new.1","0.1863",1.2048,"0.1761",1.1926,"0.1741",1.1901
"9","partyban.new.2","0",1,"0",1,"0",1
"10","minorityrule","0",1,"0",1,"0",1
"11","judicialreform","0.033",1.0336,"0.0467",1.0478,"0.0429",1.0438
"12","religiousfreedom","0",1,"0",1,"0",1
"13","pol_killing_approved","0.5682",1.7651,"0.588",1.8004,"0.5841",1.7934
"14","freediscussion","0",1,"0",1,"0",1
"15","social_inequality","0",1,"0.0021",1.0021,"0",1
"16","even_civilrights","-0.9967",0.3691,"-1.0107",0.364,"-1.0088",0.3647
"17","repress_civilsoc","-0.0818",0.9215,"-0.09",0.914,"-0.0899",0.9141
"18","social_power_dist","0.1709",1.1864,"0.1791",1.1961,"0.1763",1.1928
"19","ses_power_dist","-0.0823",0.921,"-0.0874",0.9163,"-0.0876",0.9162
"20","wdi.popsize.log2.combined","0.1381",1.148,"0.1394",1.1496,"0.1395",1.1497
"21","wdi.gdppcgrow.new.combined","0",1,"0",1,"0",1
"22","wdi.trade.new.log2.combined","0",1,"0",1,"0",1
"23","imr.fwd.fill.sqrt","0.081",1.0843,"0.0814",1.0848,"0.0804",1.0837
"24","efindex","0.1884",1.2073,"0.1831",1.2009,"0.1803",1.1976
"25","discrimpop","0.946",2.5753,"0.9672",2.6305,"0.9575",2.6053
"26","reg.na","-0.6814",0.5059,"-0.7058",0.4937,"-0.7047",0.4942
"27","reg.eap","0",1,"0",1,"0",1
"28","reg.sca","0.2043",1.2266,"0.2017",1.2234,"0.2007",1.2223
"29","reg.mna","0",1,"0",1,"0",1
"30","ios.iccpr1","0",1,"0",1,"0",1
"31","battledeaths.ln2","0.0338",1.0344,"0.0339",1.0345,"0",1
"32","coup.try.5yr","0.6825",1.9788,"0.6883",1.9904,"0.687",1.9877
"33","mk_ongoing_count_log","0",1,"0",1,"0",1
"34","mean_mk_onset","-3.0005",0.0498,"-3.3135",0.0364,"-3.2657",0.0382
"35","mk_onset_prev_year","-0.0614",0.9405,"-0.0608",0.941,"-0.0811",0.9221
"36","newcountry","0.7294",2.0738,"0.7639",2.1467,"0.7511",2.1193
"37","mk_ever","0.7166",2.0474,"0.7209",2.0563,"0.7306",2.0762
"38","year_sq","0",1,"0",1,"0",1
"39","countryage_new_ln","0",1,"0",1,"0",1
"40","includesnonstate","0",1,"0",1,"0",1
"41","offset_decay",NA,NA,"0.0968",1.1017,NA,NA
"42","battledeaths.low.ln2",NA,NA,NA,NA,"0",1
"43","battledeaths.high.ln2",NA,NA,NA,NA,"0.038",1.0387
