"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","popsize.log2","gdppcgrowth","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.log2","coup.try.5yr","mk_ongoing_count_log2","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage.new.log2","includesnonstate","ccode"
"1","Chad",0.1231,1,0.05693,3,0.1247,2,0,0,0,1,0,1,0,1,0,3,1,0.493,0,0,0,1,-1.215,24.12,0.9594,8.014,0.855,0,0,0,0,0,0,1,5.954,1,0,2,0,0,1,4093000,2023,6,1,483
"2","Sudan",0.1121,2,0.06246,1,0.08825,3,1,0,0,1,0,1,0,1,0,2,0,0.355,0,0,0,1,-0.265,25.52,-3.525,6.018,0.746,0.12,0,0,0,0,0,0,12.38,1,1.585,4,0,0,1,4093000,2023,6.087,1,625
"3","Burma/Myanmar",0.1011,3,0.059,2,0.1548,1,1,0,0,1,1,0,0,1,0,2,1,0.054,1,0,0,1,-1.058,25.7,0.2644,5.638,0.59,0.0605,0,1,0,0,0,0,11.29,1,2,4,0,0,1,4093000,2023,6.248,1,775
"4","Pakistan",0.09988,4,0.04966,4,0.08029,5,1,0,0,1,0,1,0,0,1,2,0,0.554,0,0,0,1,-0.815,27.84,-1.943,7.026,0.748,0.055,0,0,1,0,0,0,10.03,0,1,2,0,0,1,4093000,2023,6.267,1,770
"5","India",0.0822,5,0.03851,6,0.08422,4,0,0,0,1,0,0,1,0,1,2,0,0.582,0,0,0,1,0.006,30.41,6.721,4.756,0.42,0.1195,0,0,1,0,0,0,7.755,0,0,3,0,0,1,4093000,2023,6.267,1,750
"6","Burkina Faso",0.06642,6,0.04308,5,0.05218,13,1,0,0,1,0,1,0,0,1,3,0,0.633,0,0,0,0,1.526,24.47,0.402,7.234,0.767,0,0,0,0,0,0,1,12.17,1,1,1,0,0,1,4093000,2023,6,1,439
"7","Ethiopia",0.06636,7,0.03724,7,0.06349,7,0,1,0,1,0,1,0,1,2,3,0,0.357,0,0,0,1,0.772,26.91,3.849,5.741,0.783,0,0,0,0,0,0,0,10.71,0,1.585,5,0,0,1,4093000,2023,7.401,1,530
"8","Afghanistan",0.06429,8,0.03565,8,0.07594,6,0,0,1,1,1,0,0,1,1,0,1,0.051,1,0,1,1,-2.744,25.33,-8.587,6.63,0.763,0,0,0,1,0,0,0,7.807,0,0,4,0,0,1,4093000,2023,6.714,1,700
"9","Guinea",0.05875,9,0.02663,11,0.06154,9,0,0,0,0,0,1,0,1,1,3,0,0.319,0,0,0,1,-0.22,23.76,4.563,8.09,0.727,0,0,0,0,0,0,1,0,1,0,1,0,0,1,4093000,2023,6.044,1,438
"10","Yemen",0.05703,10,0.02968,10,0.06251,8,0,0,1,1,0,0,1,1,1,0,1,0.319,1,0,0,1,-0.757,25.04,-0.5296,5.681,0.126,0.01,0,0,0,1,0,0,9.646,0,0,0,0,0,1,4093000,2023,5.087,1,679
"11","Nigeria",0.05651,11,0.03255,9,0.05857,10,1,0,0,0,0,0,1,0,1,3,0,0.886,0,0,0,0,-0.222,27.74,0.4412,8.335,0.85,0,0,0,0,0,0,0,11.05,0,1.585,5,0,0,1,4093000,2023,6,1,475
"12","Indonesia",0.05454,12,0.02423,14,0.05518,11,0,0,0,0,0,1,0,0,1,4,0,0.536,0,0,0,1,-0.328,28.05,4.279,4.137,0.803,0,0,1,0,0,0,0,5.907,0,0,5,0,0,1,4093000,2023,6.229,1,850
"13","Bangladesh",0.04895,13,0.02027,18,0.05315,12,0,0,0,1,0,1,0,0,1,4,0,0.284,0,0,0,0,-2.877,27.37,4.694,4.775,0.025,0.112,0,0,1,0,0,0,0,0,0,2,0,0,1,4093000,2023,5.728,1,771
"14","Democratic Republic of Congo",0.04538,14,0.02544,13,0.04926,15,1,0,0,1,0,0,1,0,1,3,0,0.482,0,0,0,1,-0.692,26.61,5.108,7.024,0.7,0.02,0,0,0,0,0,1,9.047,0,1,6,0,0,1,4093000,2023,6,1,490
"15","Iran",0.04125,15,0.01905,20,0.03591,23,0,0,1,1,0,1,0,1,1,1,0,0.241,1,0,1,1,0.61,26.41,4.22,3.141,0.743,0.1545,0,0,0,1,0,0,5.129,0,0,2,0,0,1,4093000,2023,7.7,1,630
"16","Niger",0.04052,16,0.02551,12,0.03563,24,0,0,0,0,0,0,1,0,2,3,0,0.883,0,0,0,1,0.981,24.7,-1.249,8.035,0.666,0,0,0,0,0,0,1,8.34,1,0,0,0,0,0,4093000,2023,6,1,436
"17","Iraq",0.03878,17,0.02059,16,0.04221,18,1,0,0,1,0,1,0,0,1,3,0,0.525,0,0,0,1,-0.021,25.44,-5.087,4.361,0.446,0,0,0,0,1,0,0,7.672,0,1,6,0,0,1,4093000,2023,6.524,1,645
"18","South Sudan",0.03684,18,0.0173,23,0.03966,20,1,0,1,1,0,1,0,1,1,3,0,0.171,1,0,0,1,-1.244,23.4,-10.64,7.988,0.73,0.04,0,0,0,0,0,0,0,0,1.585,1,0,0,1,4093000,2023,3.7,1,626
"19","Philippines",0.03651,19,0.02008,19,0.04821,16,1,0,0,1,0,0,1,1,1,4,0,0.631,0,0,0,1,-0.777,26.81,3.946,4.551,0.807,0,0,1,0,0,0,1,7.877,0,1,4,0,0,1,4093000,2023,6.285,1,840
"20","Russia",0.03342,20,0.01875,22,0.03043,31,0,0,0,1,0,1,0,0,0,2,0,0.295,0,0,0,1,-1.452,27.1,-2.162,1.882,0.376,0.0032,0,0,0,0,1,1,6.615,0,0,2,0,0,1,4093000,2023,7.7,1,365
"21","Rwanda",0.03281,21,0.01674,24,0.03123,30,0,0,0,1,0,1,0,1,1,3,0,0.156,0,0,0,1,-0.561,23.75,5.799,5.245,0.28,0,0,0,0,0,0,0,7.055,0,0,4,0,0,1,4093000,2023,5.954,1,517
"22","Mali",0.0327,22,0.0229,15,0.03794,22,0,0,0,1,0,0,1,0,1,3,0,0.674,0,0,0,0,1.475,24.47,2.074,7.796,0.852,0,0,0,0,0,0,1,10.3,1,0,0,0,0,0,4093000,2023,6,1,432
"23","Turkey",0.03099,23,0.01887,21,0.03456,25,0,0,1,1,0,0,1,0,0,2,0,0.186,0,0,0,1,-0.171,26.35,4.093,3.027,0.521,0.1866,0,0,0,0,1,1,8.455,0,0,1,0,0,1,4093000,2023,7.7,1,640
"24","Egypt",0.02892,24,0.01337,31,0.03974,19,0,0,1,1,0,1,0,0,1,2,0,0.129,0,0,0,1,-0.306,26.75,2.17,3.815,0.041,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4093000,2023,6.672,1,651
"25","Tajikistan",0.02845,25,0.01316,33,0.05012,14,0,0,0,1,0,1,0,1,1,0,0,0.045,0,0,0,1,-1.972,23.27,6.263,4.95,0.367,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4093000,2023,5.044,1,702
"26","China",0.0284,26,0.01371,28,0.03031,32,0,0,0,1,1,0,0,1,1,0,0,0.087,1,0,0,1,-0.188,30.39,5.309,2.259,0.19,0.0134,0,1,0,0,0,0,0,0,0,3,0,0,1,4093000,2023,7.7,1,710
"27","Mozambique",0.02836,27,0.01662,26,0.03141,29,0,0,0,1,0,0,1,0,1,4,0,0.584,0,0,0,0,1.128,25.01,2.126,7.053,0.69,0,0,0,0,0,0,0,7.468,0,0,1,0,0,1,4093000,2023,5.615,1,541
"28","Somalia",0.02817,28,0.02037,17,0.03452,26,1,0,1,1,0,0,1,0,1,2,0,0.69,0,0,0,0,-0.098,24.11,0.000976,8.141,0.222,0,0,0,0,0,0,1,11.91,0,1,3,0,0,1,4093000,2023,6,1,520
"29","Angola",0.02675,29,0.01346,30,0.0329,27,0,0,0,0,0,0,1,0,1,3,0,0.637,0,0,0,1,-0.313,25.13,-2.155,6.974,0.779,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,5.615,1,540
"30","Thailand",0.02661,30,0.01366,29,0.0271,36,0,0,0,1,0,0,1,1,1,4,0,0.469,0,0,0,1,-0.006,26.1,1.735,2.491,0.352,0.05,0,1,0,0,0,0,4.954,0,0,1,0,0,1,4093000,2023,7.7,1,800
"31","Republic of Congo",0.02639,31,0.0124,36,0.02715,34,0,0,0,1,0,0,1,0,1,3,1,0.114,0,0,0,1,-0.189,22.54,-0.37,5.368,0.704,0,0,0,0,0,0,1,0,0,0,3,0,0,1,4093000,2023,6,1,484
"32","Uganda",0.02619,32,0.01264,34,0.03143,28,0,0,0,1,0,0,1,1,1,3,0,0.51,0,0,0,1,-0.211,25.53,2.345,5.367,0.883,0.059,0,0,0,0,0,1,0,0,0,3,0,0,1,4093000,2023,5.954,1,500
"33","Cambodia",0.02536,33,0.01117,40,0.0271,35,0,0,0,1,0,1,0,1,1,3,0,0.286,0,0,0,1,-1.049,24.01,4.299,4.38,0.158,0.008,0,1,0,0,0,0,0,0,0,2,0,0,1,4093000,2023,6.15,1,811
"34","Central African Republic",0.02532,34,0.01654,27,0.04571,17,1,0,0,1,0,0,1,0,0,4,0,0.312,0,0,0,1,0.604,22.45,-1.996,8.276,0.79,0,0,0,0,0,0,1,8.033,0,1,1,0,0,1,4093000,2023,6,1,482
"35","Ivory Coast",0.0253,35,0.01249,35,0.02686,37,0,0,0,0,0,0,1,0,1,4,0,0.684,0,0,0,1,0.031,24.78,3.907,7.187,0.731,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,6,1,437
"36","Laos",0.02481,36,0.0121,37,0.0273,33,0,0,0,1,1,0,0,1,1,2,1,0.062,0,0,0,1,-0.085,22.86,2.328,5.632,0.634,0.08,0,1,0,0,0,0,0,0,0,2,0,0,1,4093000,2023,6.229,1,812
"37","South Africa",0.02355,37,0.01188,38,0.02483,38,0,0,0,0,0,0,1,0,1,4,0,0.834,0,0,0,1,1.294,25.85,-0.2653,5.277,0.856,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4093000,2023,6.833,1,560
"38","Jordan",0.02334,38,0.01117,41,0.01101,71,0,0,0,1,0,0,1,1,1,3,0,0.702,0,0,0,1,0.572,23.43,2.152,3.428,0.044,0.5,0,0,0,1,0,0,0,0,0,1,0,0,1,4093000,2023,6.248,1,663
"39","Syria",0.02298,39,0.01672,25,0.03914,21,1,0,0,1,1,0,0,1,0,1,0,0.073,1,0,0,1,-2.162,24.47,-6.012,4.091,0.213,0,0,0,0,1,0,0,10.56,0,1.585,3,0,0,1,4093000,2023,6.285,1,652
