"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2","gdppcgrowth.combined","tradeshare.log2.combined","imr.fwd.fill.sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage_new_ln","includesnonstate","ccode"
"1","Chad",0.1212,1,0.05232,3,0.1226,2,0,0,0,1,0,1,0,1,0,3,1,0.493,0,0,0,1,-1.215,24.12,0.9594,6.517,8.014,0.855,0,0,0,0,0,0,1,5.954,1,0,2,0,0,1,4093000,2023,6,1,483
"2","Sudan",0.1155,2,0.06123,1,0.09001,3,1,0,0,1,0,1,0,1,0,2,0,0.355,0,0,0,1,-0.265,25.52,-3.525,1.143,6.018,0.746,0.12,0,0,0,0,0,0,12.38,1,1.585,4,0,0,1,4093000,2023,6.087,1,625
"3","Burma/Myanmar",0.105,3,0.06078,2,0.1635,1,1,0,0,1,1,0,0,1,0,2,1,0.054,1,0,0,1,-1.058,25.7,0.2644,-0.8607,5.638,0.59,0.0605,0,1,0,0,0,0,11.29,1,2,4,0,0,1,4093000,2023,6.248,1,775
"4","Pakistan",0.101,4,0.04749,4,0.08111,5,1,0,0,1,0,1,0,0,1,2,0,0.554,0,0,0,1,-0.815,27.84,-1.943,4.813,7.026,0.748,0.055,0,0,1,0,0,0,10.03,0,1,2,0,0,1,4093000,2023,6.267,1,770
"5","India",0.07959,5,0.03454,9,0.08378,4,0,0,0,1,0,0,1,0,1,2,0,0.582,0,0,0,1,0.006,30.41,6.721,5.519,4.756,0.42,0.1195,0,0,1,0,0,0,7.755,0,0,3,0,0,1,4093000,2023,6.267,1,750
"6","Burkina Faso",0.06704,6,0.04602,5,0.05098,13,1,0,0,1,0,1,0,0,1,3,0,0.633,0,0,0,0,1.526,24.47,0.402,6.018,7.234,0.767,0,0,0,0,0,0,1,12.17,1,1,1,0,0,1,4093000,2023,6,1,439
"7","Afghanistan",0.06591,7,0.03554,7,0.07621,6,0,0,1,1,1,0,0,1,1,0,1,0.051,1,0,1,1,-2.744,25.33,-8.587,6.188,6.63,0.763,0,0,0,1,0,0,0,7.807,0,0,4,0,0,1,4093000,2023,6.714,1,700
"8","Ethiopia",0.06429,8,0.03732,6,0.06277,8,0,1,0,1,0,1,0,1,2,3,0,0.357,0,0,0,1,0.772,26.91,3.849,4.364,5.741,0.783,0,0,0,0,0,0,0,10.71,0,1.585,5,0,0,1,4093000,2023,7.401,1,530
"9","Nigeria",0.05993,9,0.0353,8,0.06196,9,1,0,0,0,0,0,1,0,1,3,0,0.886,0,0,0,0,-0.222,27.74,0.4412,-2.255,8.335,0.85,0,0,0,0,0,0,0,11.05,0,1.585,5,0,0,1,4093000,2023,6,1,475
"10","Yemen",0.05831,10,0.02949,10,0.06714,7,0,0,1,1,0,0,1,1,1,0,1,0.319,1,0,0,1,-0.757,25.04,1.205,-2.942,5.681,0.126,0.01,0,0,0,1,0,0,9.646,0,0,0,0,0,1,4093000,2023,5.087,1,679
"11","Guinea",0.05815,11,0.02712,11,0.0595,10,0,0,0,0,0,1,0,1,1,3,0,0.319,0,0,0,1,-0.22,23.76,4.563,6.108,8.09,0.727,0,0,0,0,0,0,1,0,1,0,1,0,0,1,4093000,2023,6.044,1,438
"12","Indonesia",0.05318,12,0.02289,15,0.05429,11,0,0,0,0,0,1,0,0,1,4,0,0.536,0,0,0,1,-0.328,28.05,4.279,5.369,4.137,0.803,0,0,1,0,0,0,0,5.907,0,0,5,0,0,1,4093000,2023,6.229,1,850
"13","Bangladesh",0.05011,13,0.02168,17,0.05281,12,0,0,0,1,0,1,0,0,1,4,0,0.284,0,0,0,0,-2.877,27.37,4.694,4.953,4.775,0.025,0.112,0,0,1,0,0,0,0,0,0,2,0,0,1,4093000,2023,5.728,1,771
"14","Democratic Republic of Congo",0.04369,14,0.02377,14,0.04811,15,1,0,0,1,0,0,1,0,1,3,0,0.482,0,0,0,1,-0.692,26.61,5.108,6.512,7.024,0.7,0.02,0,0,0,0,0,1,9.047,0,1,6,0,0,1,4093000,2023,6,1,490
"15","Iran",0.04094,15,0.01891,20,0.03524,23,0,0,1,1,0,1,0,1,1,1,0,0.241,1,0,1,1,0.61,26.41,4.22,5.796,3.141,0.743,0.1545,0,0,0,1,0,0,5.129,0,0,2,0,0,1,4093000,2023,7.7,1,630
"16","Niger",0.03948,16,0.02592,12,0.03502,24,0,0,0,0,0,0,1,0,2,3,0,0.883,0,0,0,1,0.981,24.7,-1.249,4.927,8.035,0.666,0,0,0,0,0,0,1,8.34,1,0,0,0,0,0,4093000,2023,6,1,436
"17","South Sudan",0.03928,17,0.01837,22,0.04178,18,1,0,1,1,0,1,0,1,1,3,0,0.171,1,0,0,1,-1.244,23.4,-5.2,-1.522,7.988,0.73,0.04,0,0,0,0,0,0,0,0,1.585,1,0,0,1,4093000,2023,3.7,1,626
"18","Iraq",0.03831,18,0.02013,18,0.0416,19,1,0,0,1,0,1,0,0,1,3,0,0.525,0,0,0,1,-0.021,25.44,-5.087,5.943,4.361,0.446,0,0,0,0,1,0,0,7.672,0,1,6,0,0,1,4093000,2023,6.524,1,645
"19","Philippines",0.03505,19,0.0185,21,0.04717,16,1,0,0,1,0,0,1,1,1,4,0,0.631,0,0,0,1,-0.777,26.81,3.946,6.075,4.551,0.807,0,0,1,0,0,0,1,7.877,0,1,4,0,0,1,4093000,2023,6.285,1,840
"20","Russia",0.03471,20,0.01816,23,0.02981,31,0,0,0,1,0,1,0,0,0,2,0,0.295,0,0,0,1,-1.452,27.1,-2.162,5.386,1.882,0.376,0.0032,0,0,0,0,1,1,6.615,0,0,2,0,0,1,4093000,2023,7.7,1,365
"21","Mali",0.03308,21,0.02505,13,0.03703,22,0,0,0,1,0,0,1,0,1,3,0,0.674,0,0,0,0,1.475,24.47,2.074,6.044,7.796,0.852,0,0,0,0,0,0,1,10.3,1,0,0,0,0,0,4093000,2023,6,1,432
"22","Rwanda",0.03275,22,0.0175,25,0.03079,29,0,0,0,1,0,1,0,1,1,3,0,0.156,0,0,0,1,-0.561,23.75,5.799,6.044,5.245,0.28,0,0,0,0,0,0,0,7.055,0,0,4,0,0,1,4093000,2023,5.954,1,517
"23","Turkey",0.0318,23,0.01789,24,0.03401,25,0,0,1,1,0,0,1,0,0,2,0,0.186,0,0,0,1,-0.171,26.35,4.093,6.065,3.027,0.521,0.1866,0,0,0,0,1,1,8.455,0,0,1,0,0,1,4093000,2023,7.7,1,640
"24","Mozambique",0.03038,24,0.01929,19,0.03063,30,0,0,0,1,0,0,1,0,1,4,0,0.584,0,0,0,0,1.128,25.01,2.126,-0.6126,7.053,0.69,0,0,0,0,0,0,0,7.468,0,0,1,0,0,1,4093000,2023,5.615,1,541
"25","Tajikistan",0.02931,25,0.01439,29,0.05056,14,0,0,0,1,0,1,0,1,1,0,0,0.045,0,0,0,1,-1.972,23.27,6.263,6.032,4.95,0.367,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4093000,2023,5.044,1,702
