"","ewp_name","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year"
"1","Chad",0.1284,1,0.05301,3,0.1292,2,0,0,0,1,0,1,0,1,0,3,1,0.493,0,0,0,1,-1.215,24.12,0.9594,6.517,8.014,0.855,0,0,0,0,0,0,5.954,1,0,0.03125,0,0,1,4093000,6,1,483,2023
"2","Sudan",0.1081,2,0.06089,1,0.08595,3,1,0,0,1,0,1,0,1,0,2,0,0.355,0,0,0,1,-0.265,25.52,-3.525,1.143,6.018,0.746,0.12,0,0,0,0,0,12.38,1,1.585,0.0625,0,0,1,4093000,6.087,1,625,2023
"3","Burma/Myanmar",0.101,3,0.0605,2,0.1572,1,1,0,0,1,1,0,0,1,0,2,1,0.054,1,0,0,1,-1.058,25.7,0.2644,-0.8607,5.638,0.59,0.0605,0,1,0,0,0,11.29,1,2,0.0625,0,0,1,4093000,6.248,1,775,2023
"4","Pakistan",0.09681,4,0.04732,4,0.07807,5,1,0,0,1,0,1,0,0,1,2,0,0.554,0,0,0,1,-0.815,27.84,-1.943,4.813,7.026,0.748,0.055,0,0,1,0,0,10.03,0,1,0.03125,0,0,1,4093000,6.267,1,770,2023
"5","India",0.07675,5,0.03444,9,0.08135,4,0,0,0,1,0,0,1,0,1,2,0,0.582,0,0,0,1,0.006,30.41,6.721,5.519,4.756,0.42,0.1195,0,0,1,0,0,7.755,0,0,0.04688,0,0,1,4093000,6.267,1,750,2023
"6","Burkina Faso",0.06905,6,0.04638,5,0.05227,12,1,0,0,1,0,1,0,0,1,3,0,0.633,0,0,0,0,1.526,24.47,0.402,6.018,7.234,0.767,0,0,0,0,0,0,12.17,1,1,0.01562,0,0,1,4093000,6,1,439,2023
"7","Afghanistan",0.06258,7,0.03537,7,0.07274,6,0,0,1,1,1,0,0,1,1,0,1,0.051,1,0,1,1,-2.744,25.33,-8.587,6.188,6.63,0.763,0,0,0,1,0,0,7.807,0,0,0.0625,0,0,1,4093000,6.714,1,700,2023
"8","Guinea",0.06201,8,0.02752,11,0.06278,8,0,0,0,0,0,1,0,1,1,3,0,0.319,0,0,0,1,-0.22,23.76,4.563,6.108,8.09,0.727,0,0,0,0,0,0,0,1,0,0.01562,0,0,1,4093000,6.044,1,438,2023
"9","Ethiopia",0.06183,9,0.03715,6,0.06011,9,0,1,0,1,0,1,0,1,2,3,0,0.357,0,0,0,1,0.772,26.91,3.849,4.364,5.741,0.783,0,0,0,0,0,0,10.71,0,1.585,0.07812,0,0,1,4093000,7.401,1,530,2023
"10","Yemen",0.05675,10,0.02937,10,0.06546,7,0,0,1,1,0,0,1,1,1,0,1,0.319,1,0,0,1,-0.757,25.04,1.205,-2.942,5.681,0.126,0.01,0,0,0,1,0,9.646,0,0,0,0,0,1,4093000,5.087,1,679,2023
"11","Nigeria",0.05524,11,0.03504,8,0.05759,10,1,0,0,0,0,0,1,0,1,3,0,0.886,0,0,0,0,-0.222,27.74,0.4412,-2.255,8.335,0.85,0,0,0,0,0,0,11.05,0,1.585,0.07812,0,0,1,4093000,6,1,475,2023
"12","Indonesia",0.04998,12,0.02275,15,0.05177,13,0,0,0,0,0,1,0,0,1,4,0,0.536,0,0,0,1,-0.328,28.05,4.279,5.369,4.137,0.803,0,0,1,0,0,0,5.907,0,0,0.07812,0,0,1,4093000,6.229,1,850,2023
"13","Bangladesh",0.04738,13,0.02163,17,0.05017,14,0,0,0,1,0,1,0,0,1,4,0,0.284,0,0,0,0,-2.877,27.37,4.694,4.953,4.775,0.025,0.112,0,0,1,0,0,0,0,0,0.03774,0,0,1,4093000,5.728,1,771,2023
