"","country","risk.2024and2025.from2023","rank.2024and2025.from2023","risk.2024only.from2023","riskrank.2024only.from2023","risk.2023and2024.from2022","rank.2023and2024.from2022","year","widetargeting","narrowtargeting","womencivsoc","govcensorship","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","wdi.popsize.log2.combined","wdi.gdppcgrow.new.combined","wdi.trade.new.log2.combined","imr.fwd.fill.sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","ios.iccpr1","battledeaths.ln2","coup.try.5yr","mk_ongoing_count_log","mean_mk_onset","mk_onset_prev_year","newcountry","mk_ever","year_sq","countryage_new_ln","includesnonstate","ccode","year_l1","year_sq_l1"
"1","Chad",0.1282,1,0.05676,2,0.1252,2,2023,0,0,0,1,0,1,0,1,0,3,1,0.493,0,0,0,1,-1.215,24.12,4.122,6.517,8.171,0.855,0,0,0,0,0,0,5.954,1,0,0.03125,0,0,1,4093000,6,1,483,2022,4088000
"2","Myanmar (Burma)",0.09083,2,0.05699,1,0.1398,1,2023,1,0,0,1,1,0,0,1,0,2,1,0.054,1,0,0,1,-1.058,25.7,1.002,-0.8607,5.69,0.59,0.0605,0,1,0,0,0,11.29,1,2,0.05263,0,0,1,4093000,6.248,1,775,2022,4088000
"3","Sudan",0.08855,3,0.05215,3,0.07326,5,2023,1,0,0,1,0,1,0,1,0,2,0,0.355,0,0,0,1,-0.265,25.52,-12.05,1.143,5.853,0.746,0.12,0,0,0,0,0,12.38,1,1.585,0.05882,0,0,1,4093000,6.087,1,625,2022,4088000
"4","Pakistan",0.08711,4,0.04144,4,0.07571,4,2023,1,0,0,1,0,1,0,0,1,2,0,0.554,0,0,0,1,-0.815,27.84,-0.004855,4.813,7.132,0.748,0.055,0,0,1,0,0,10.03,0,1,0.02597,0,0,1,4093000,6.267,1,770,2022,4088000
"5","India",0.07355,5,0.03691,6,0.07712,3,2023,0,0,0,1,0,0,1,0,1,2,0,0.582,0,0,0,1,0.006,30.41,7.584,5.519,5.049,0.42,0.1195,0,0,1,0,0,7.755,0,0,0.03896,0,0,1,4093000,6.267,1,750,2022,4088000
"6","Burkina Faso (Upper Volta)",0.06601,6,0.039,5,0.05343,10,2023,1,0,0,1,0,1,0,0,1,3,0,0.633,0,0,0,0,1.526,24.47,2.96,6.018,7.075,0.767,0,0,0,0,0,0,12.17,1,1,0.01562,0,0,1,4093000,6,1,439,2022,4088000
"7","Yemen",0.05715,7,0.03407,7,0.06782,6,2023,0,0,1,1,0,0,1,1,1,0,1,0.319,1,0,0,1,-0.757,25.04,1.205,-2.942,5.6,0.126,0.01,0,0,0,1,0,9.646,0,0,0,0,0,1,4093000,5.087,1,679,2022,4088000
"8","Guinea",0.05658,8,0.02364,12,0.05865,9,2023,0,0,0,0,0,1,0,1,1,3,0,0.319,0,0,0,1,-0.22,23.76,7.062,6.108,7.53,0.727,0,0,0,0,0,0,0,1,0,0.01515,0,0,1,4093000,6.044,1,438,2022,4088000
"9","Afghanistan",0.05619,9,0.03029,10,0.0664,7,2023,0,0,1,1,1,0,0,1,1,0,1,0.051,1,0,1,1,-2.744,25.33,-6.24,6.188,6.435,0.763,0,0,0,1,0,0,7.807,0,0,0.04444,0,0,1,4093000,6.714,1,700,2022,4088000
"10","Ethiopia",0.05488,10,0.03193,8,0.06011,8,2023,0,1,0,1,0,1,0,1,2,3,0,0.357,0,0,0,1,0.772,26.91,6.498,4.364,5.441,0.783,0,0,0,0,0,0,10.71,0,1.585,0.05556,0,0,1,4093000,7.401,1,530,2022,4088000
"11","Nigeria",0.04568,11,0.03036,9,0.04774,12,2023,1,0,0,0,0,0,1,0,1,3,0,0.886,0,0,0,0,-0.222,27.74,2.86,-2.255,8.235,0.85,0,0,0,0,0,0,11.05,0,1.585,0.07812,0,0,1,4093000,6,1,475,2022,4088000
"12","Bangladesh",0.04404,12,0.01727,20,0.04665,13,2023,0,0,0,1,0,1,0,0,1,4,0,0.284,0,0,0,0,-2.877,27.37,5.775,4.953,4.597,0.025,0.112,0,0,1,0,0,0,0,0,0.03774,0,0,1,4093000,5.728,1,771,2022,4088000
"13","Indonesia",0.04247,13,0.01985,18,0.04431,16,2023,0,0,0,0,0,1,0,0,1,4,0,0.536,0,0,0,1,-0.328,28.05,5.048,5.369,4.075,0.803,0,0,1,0,0,0,5.907,0,0,0.06667,0,0,1,4093000,6.229,1,850,2022,4088000
"14","Congo, Democratic Republic of (Zaire)",0.04075,14,0.02491,11,0.04542,15,2023,1,0,0,1,0,0,1,0,1,3,0,0.482,0,0,0,1,-0.692,26.61,8.561,6.512,7.628,0.7,0.02,0,0,0,0,0,9.047,0,1,0.09375,0,0,1,4093000,6,1,490,2022,4088000
"15","Russia (Soviet Union)",0.03641,15,0.01772,19,0.03124,25,2023,0,0,0,1,0,1,0,0,0,2,0,0.295,0,0,0,1,-1.452,27.1,3.6,5.386,1.993,0.376,0.0032,0,0,0,0,0,6.615,0,0,0.02222,0,0,1,4093000,7.7,1,365,2022,4088000
"16","Philippines",0.03618,16,0.02161,13,0.04593,14,2023,1,0,0,1,0,0,1,1,1,4,0,0.631,0,0,0,1,-0.777,26.81,5.546,6.075,4.323,0.807,0,0,1,0,0,0,7.877,0,1,0.04444,0,0,1,4093000,6.285,1,840,2022,4088000
"17","Turkey (Ottoman Empire)",0.03406,17,0.02081,15,0.03782,18,2023,0,0,1,1,0,0,1,0,0,2,0,0.186,0,0,0,1,-0.171,26.35,4.517,6.065,2.623,0.521,0.1866,0,0,0,0,0,8.455,0,0,0.01111,0,0,1,4093000,7.7,1,640,2022,4088000
