"","ewp_name","risk_1or2.from2023","risk_rank.from2023"
"1","Chad",0.1231,1
"2","Sudan",0.1121,2
"3","Burma/Myanmar",0.1011,3
"4","Pakistan",0.0999,4
"5","India",0.0822,5
"6","Burkina Faso",0.0664,6
"7","Ethiopia",0.0664,7
"8","Afghanistan",0.0643,8
"9","Guinea",0.0588,9
"10","Yemen",0.057,10
"11","Nigeria",0.0565,11
"12","Indonesia",0.0545,12
"13","Bangladesh",0.0489,13
"14","Democratic Republic of Congo",0.0454,14
"15","Iran",0.0412,15
"16","Niger",0.0405,16
"17","Iraq",0.0388,17
"18","South Sudan",0.0368,18
"19","Philippines",0.0365,19
"20","Russia",0.0334,20
"21","Rwanda",0.0328,21
"22","Mali",0.0327,22
"23","Turkey",0.031,23
"24","Egypt",0.0289,24
"25","Tajikistan",0.0285,25
"26","China",0.0284,26
"27","Mozambique",0.0284,27
"28","Somalia",0.0282,28
"29","Angola",0.0267,29
"30","Thailand",0.0266,30
"31","Republic of Congo",0.0264,31
"32","Uganda",0.0262,32
"33","Cambodia",0.0254,33
"34","Central African Republic",0.0253,34
"35","Ivory Coast",0.0253,35
"36","Laos",0.0248,36
"37","South Africa",0.0235,37
"38","Jordan",0.0233,38
"39","Syria",0.023,39
"40","Burundi",0.0228,40
"41","Tanzania",0.0218,41
"42","Malawi",0.0215,42
"43","Cameroon",0.0211,43
"44","Nepal",0.0202,44
"45","Eritrea",0.0198,45
"46","Algeria",0.0191,46
"47","Guinea-Bissau",0.0183,47
"48","Kenya",0.0183,48
"49","Gabon",0.0174,49
"50","Zimbabwe",0.0173,50
"51","Sierra Leone",0.0173,51
"52","Liberia",0.017,52
"53","Democratic Republic of Vietnam",0.0168,53
"54","Papua New Guinea",0.0148,54
"55","Mauritania",0.0147,55
"56","Madagascar",0.0143,56
"57","Libya",0.014,57
"58","Colombia",0.0135,58
"59","Equatorial Guinea",0.0127,59
"60","Morocco",0.0127,60
"61","Bahrain",0.0125,61
"62","Kyrgystan",0.0119,62
"63","Senegal",0.0113,63
"64","Togo",0.0111,64
"65","Ukraine",0.0103,65
"66","Peru",0.0103,66
"67","Georgia",0.0102,67
"68","Uzbekistan",0.0101,68
"69","Zambia",0.0101,69
"70","Lebanon",0.0101,70
"71","North Korea",0.01,71
"72","Nicaragua",0.0099,72
"73","Bosnia and Herzegovina",0.0097,73
"74","Djibouti",0.0097,74
"75","Azerbaijan",0.0086,75
"76","Brazil",0.0083,76
"77","Sri Lanka",0.0083,77
"78","Namibia",0.008,78
"79","United States of America",0.008,79
"80","Mexico",0.0079,80
"81","Venezuela",0.0078,81
"82","Bhutan",0.0074,82
"83","Argentina",0.0074,83
"84","Botswana",0.007,84
"85","United Arab Emirates",0.007,85
"86","Fiji",0.0068,86
"87","Israel",0.0067,87
"88","Kazakhstan",0.0067,88
"89","El Salvador",0.0066,89
"90","Guatemala",0.0059,90
"91","Mauritius",0.0057,91
"92","Eswatini",0.0056,92
"93","Comoros",0.0055,93
"94","South Korea",0.0053,94
"95","Benin",0.0053,95
"96","Haiti",0.0053,96
"97","Ecuador",0.0052,97
"98","Timor-Leste",0.0051,98
"99","Malaysia",0.0049,99
"100","Honduras",0.0049,100
"101","Ghana",0.0048,101
"102","Hungary",0.0047,102
"103","Saudi Arabia",0.0046,103
"104","Romania",0.0045,104
"105","Paraguay",0.0045,105
"106","Panama",0.0045,106
"107","Serbia",0.0045,107
"108","Canada",0.0044,108
"109","Poland",0.0043,109
"110","Turkmenistan",0.0042,110
"111","Maldives",0.0042,111
"112","Japan",0.0041,112
"113","United Kingdom",0.004,113
"114","Croatia",0.0039,114
"115","Czech Republic",0.0036,115
"116","Chile",0.0036,116
"117","Cyprus",0.0036,117
"118","The Gambia",0.0035,118
"119","Slovakia",0.0034,119
"120","Germany",0.0033,120
"121","Dominican Republic",0.0033,121
"122","France",0.0033,122
"123","Spain",0.0032,123
"124","Guyana",0.0032,124
"125","Mongolia",0.0031,125
"126","Singapore",0.003,126
"127","Lesotho",0.003,127
"128","Italy",0.003,128
"129","Australia",0.003,129
"130","New Zealand",0.0029,130
"131","Greece",0.0028,131
"132","Kuwait",0.0028,132
"133","Belarus",0.0028,133
"134","Oman",0.0028,134
"135","Moldova",0.0027,135
"136","Qatar",0.0025,136
"137","Switzerland",0.0025,137
"138","Bolivia",0.0025,138
"139","Netherlands",0.0025,139
"140","Tunisia",0.0024,140
"141","Belgium",0.0024,141
"142","Suriname",0.0024,142
"143","Macedonia",0.0024,143
"144","Portugal",0.0023,144
"145","Austria",0.0023,145
"146","Kosovo",0.0022,146
"147","Sweden",0.0022,147
"148","Bulgaria",0.0021,148
"149","Albania",0.0021,149
"150","Solomon Islands",0.002,150
"151","Denmark",0.002,151
"152","Ireland",0.0019,152
"153","Armenia",0.0019,153
"154","Cuba",0.0018,154
"155","Finland",0.0018,155
"156","Lithuania",0.0018,156
"157","Norway",0.0018,157
"158","Latvia",0.0017,158
"159","Cape Verde",0.0016,159
"160","Slovenia",0.0015,160
"161","Estonia",0.0015,161
"162","Trinidad and Tobago",0.0015,162
"163","Luxembourg",0.0014,163
"164","Costa Rica",0.0013,164
"165","Malta",0.0013,165
"166","Montenegro",0.0013,166
"167","Jamaica",0.0012,167
"168","Uruguay",0.0011,168
