"","ewp_name","risk_1or2.from2023","risk_rank.from2023","risk_1or2.offsetdecay","risk_rank.offsetdecay"
"1","Chad",0.1212,1,0.1212,1
"2","Sudan",0.1155,2,0.1155,2
"3","Burma/Myanmar",0.105,3,0.105,3
"4","Pakistan",0.101,4,0.101,4
"5","India",0.0796,5,0.0796,5
"6","Burkina Faso",0.067,6,0.067,6
"7","Afghanistan",0.0659,7,0.0659,7
"8","Ethiopia",0.0643,8,0.0643,8
"9","Nigeria",0.0599,9,0.0599,9
"10","Yemen",0.0583,10,0.0583,10
"11","Guinea",0.0582,11,0.0582,11
"12","Indonesia",0.0532,12,0.0532,12
"13","Bangladesh",0.0501,13,0.0501,13
"14","Democratic Republic of Congo",0.0437,14,0.0437,14
"15","Iran",0.0409,15,0.0409,15
"16","Niger",0.0395,16,0.0395,16
"17","South Sudan",0.0393,17,0.0393,17
"18","Iraq",0.0383,18,0.0383,18
"19","Philippines",0.0351,19,0.0351,19
"20","Russia",0.0347,20,0.0347,20
"21","Mali",0.0331,21,0.0331,21
"22","Rwanda",0.0327,22,0.0327,22
"23","Turkey",0.0318,23,0.0318,23
"24","Mozambique",0.0304,24,0.0304,24
"25","Tajikistan",0.0293,25,0.0293,25
"26","Egypt",0.0285,26,0.0285,26
"27","Somalia",0.0283,27,0.0283,27
"28","China",0.0275,28,0.0275,28
"29","Laos",0.0269,29,0.0269,29
"30","Angola",0.0263,30,0.0263,30
"31","Central African Republic",0.0262,31,0.0262,31
"32","Uganda",0.0258,32,0.0258,32
"33","Republic of Congo",0.0258,33,0.0258,33
"34","Thailand",0.0253,34,0.0253,34
"35","Ivory Coast",0.0251,35,0.0251,35
"36","Cambodia",0.025,36,0.025,36
"37","Jordan",0.0244,37,0.0244,37
"38","Burundi",0.0233,38,0.0233,38
"39","Syria",0.0232,39,0.0232,39
"40","South Africa",0.0231,40,0.0231,40
"41","Malawi",0.0227,41,0.0227,41
"42","Eritrea",0.0225,42,0.0225,42
"43","Tanzania",0.0219,43,0.0219,43
"44","Cameroon",0.0213,44,0.0213,44
"45","Nepal",0.0211,45,0.0211,45
"46","Algeria",0.0188,46,0.0188,46
"47","Kenya",0.0188,47,0.0188,47
"48","Liberia",0.0186,48,0.0186,48
"49","Guinea-Bissau",0.0186,49,0.0186,49
"50","Sierra Leone",0.0177,50,0.0177,50
"51","Gabon",0.0174,51,0.0174,51
"52","Democratic Republic of Vietnam",0.0171,52,0.0171,52
"53","Zimbabwe",0.0169,53,0.0169,53
"54","Papua New Guinea",0.0163,54,0.0163,54
"55","Mauritania",0.0149,55,0.0149,55
"56","Libya",0.0144,56,0.0144,56
"57","Madagascar",0.0143,57,0.0143,57
"58","Colombia",0.0136,58,0.0136,58
"59","Equatorial Guinea",0.0133,59,0.0133,59
"60","Bahrain",0.0125,60,0.0125,60
"61","Kyrgystan",0.0123,61,0.0123,61
"62","Morocco",0.0122,62,0.0122,62
"63","Senegal",0.012,63,0.012,63
"64","Togo",0.0115,64,0.0115,64
"65","North Korea",0.0115,65,0.0115,65
"66","Ukraine",0.0111,66,0.0111,66
"67","Uzbekistan",0.0108,67,0.0108,67
"68","Georgia",0.0106,68,0.0106,68
"69","Zambia",0.0105,69,0.0105,69
"70","Nicaragua",0.0105,70,0.0105,70
"71","Peru",0.0104,71,0.0104,71
"72","Bosnia and Herzegovina",0.0101,72,0.0101,72
"73","Lebanon",0.01,73,0.01,73
"74","Djibouti",0.01,74,0.01,74
"75","Venezuela",0.009,75,0.009,75
"76","Azerbaijan",0.0089,76,0.0089,76
"77","Sri Lanka",0.0088,77,0.0088,77
"78","Brazil",0.0087,78,0.0087,78
"79","United States of America",0.0082,79,0.0082,79
"80","Namibia",0.0081,80,0.0081,80
"81","Bhutan",0.0081,81,0.0081,81
"82","Mexico",0.008,82,0.008,82
"83","United Arab Emirates",0.0079,83,0.0079,83
"84","Argentina",0.0077,84,0.0077,84
"85","Botswana",0.0074,85,0.0074,85
"86","Kazakhstan",0.007,86,0.007,86
"87","Israel",0.007,87,0.007,87
"88","Fiji",0.007,88,0.007,88
"89","El Salvador",0.0069,89,0.0069,89
"90","Eswatini",0.0062,90,0.0062,90
"91","Guatemala",0.0061,91,0.0061,91
"92","Mauritius",0.0059,92,0.0059,92
"93","Comoros",0.0059,93,0.0059,93
"94","Benin",0.0057,94,0.0057,94
"95","Haiti",0.0056,95,0.0056,95
"96","Ecuador",0.0054,96,0.0054,96
"97","South Korea",0.0054,97,0.0054,97
"98","Timor-Leste",0.0052,98,0.0052,98
"99","Honduras",0.0051,99,0.0051,99
"100","Malaysia",0.0049,100,0.0049,100
"101","Hungary",0.0049,101,0.0049,101
"102","Ghana",0.0049,102,0.0049,102
"103","Romania",0.0048,103,0.0048,103
"104","Saudi Arabia",0.0048,104,0.0048,104
"105","Paraguay",0.0047,105,0.0047,105
"106","Serbia",0.0047,106,0.0047,106
"107","Panama",0.0047,107,0.0047,107
"108","Canada",0.0047,108,0.0047,108
"109","Turkmenistan",0.0046,109,0.0046,109
"110","Poland",0.0046,110,0.0046,110
"111","Maldives",0.0045,111,0.0045,111
"112","United Kingdom",0.0043,112,0.0043,112
"113","Japan",0.0042,113,0.0042,113
"114","Croatia",0.0041,114,0.0041,114
"115","Czech Republic",0.0039,115,0.0039,115
"116","Cyprus",0.0038,116,0.0038,116
"117","Chile",0.0038,117,0.0038,117
"118","The Gambia",0.0037,118,0.0037,118
"119","Guyana",0.0037,119,0.0037,119
"120","Slovakia",0.0036,120,0.0036,120
"121","Germany",0.0036,121,0.0036,121
"122","Dominican Republic",0.0036,122,0.0036,122
"123","France",0.0035,123,0.0035,123
"124","Spain",0.0035,124,0.0035,124
"125","Kuwait",0.0033,125,0.0033,125
"126","Italy",0.0032,126,0.0032,126
"127","Lesotho",0.0032,127,0.0032,127
"128","Belarus",0.0032,128,0.0032,128
"129","Greece",0.0031,129,0.0031,129
"130","Mongolia",0.0031,130,0.0031,130
"131","Australia",0.0031,131,0.0031,131
"132","Singapore",0.003,132,0.003,132
"133","Moldova",0.003,133,0.003,133
"134","New Zealand",0.003,134,0.003,134
"135","Oman",0.003,135,0.003,135
"136","Suriname",0.0028,136,0.0028,136
"137","Switzerland",0.0028,137,0.0028,137
"138","Qatar",0.0027,138,0.0027,138
"139","Netherlands",0.0027,139,0.0027,139
"140","Bolivia",0.0027,140,0.0027,140
"141","Tunisia",0.0026,141,0.0026,141
"142","Belgium",0.0026,142,0.0026,142
"143","Macedonia",0.0026,143,0.0026,143
"144","Portugal",0.0025,144,0.0025,144
"145","Austria",0.0024,145,0.0024,145
"146","Kosovo",0.0024,146,0.0024,146
"147","Sweden",0.0024,147,0.0024,147
"148","Bulgaria",0.0023,148,0.0023,148
"149","Albania",0.0023,149,0.0023,149
"150","Solomon Islands",0.0022,150,0.0022,150
"151","Denmark",0.0021,151,0.0021,151
"152","Armenia",0.0021,152,0.0021,152
"153","Ireland",0.0021,153,0.0021,153
"154","Cuba",0.0021,154,0.0021,154
"155","Finland",0.002,155,0.002,155
"156","Norway",0.0019,156,0.0019,156
"157","Lithuania",0.0019,157,0.0019,157
"158","Latvia",0.0018,158,0.0018,158
"159","Cape Verde",0.0017,159,0.0017,159
"160","Slovenia",0.0017,160,0.0017,160
"161","Trinidad and Tobago",0.0017,161,0.0017,161
"162","Estonia",0.0016,162,0.0016,162
"163","Luxembourg",0.0015,163,0.0015,163
"164","Jamaica",0.0015,164,0.0015,164
"165","Costa Rica",0.0015,165,0.0015,165
"166","Montenegro",0.0014,166,0.0014,166
"167","Malta",0.0014,167,0.0014,167
"168","Uruguay",0.0012,168,0.0012,168
