"","ewp_name","risk_1or2.from2023","risk_rank.from2023","risk_1or2.offsetdecay","risk_rank.offsetdecay","risk_1or2.simple","risk_rank.simple"
"1","Chad",0.1284,1,0.1285,1,0.0205,16
"2","Sudan",0.1081,2,0.1088,2,0.0405,6
"3","Burma/Myanmar",0.101,3,0.1006,3,0.0495,3
"4","Pakistan",0.0968,4,0.0969,4,0.0332,9
"5","India",0.0767,5,0.0761,5,0.0108,64
"6","Burkina Faso",0.069,6,0.0703,6,0.0346,8
"7","Afghanistan",0.0626,7,0.0634,7,0.0156,30
"8","Guinea",0.062,8,0.0623,8,0.0208,13
"9","Ethiopia",0.0618,9,0.0614,9,0.0384,7
"10","Yemen",0.0568,10,0.0553,11,0.013,40
"11","Nigeria",0.0552,11,0.0553,10,0.0626,1
"12","Indonesia",0.05,12,0.0499,12,0.0096,71
"13","Bangladesh",0.0474,13,0.0481,13,0.0109,63
"14","Democratic Republic of Congo",0.0453,14,0.0453,14,0.0332,10
"15","Niger",0.0411,15,0.041,15,0.0206,15
"16","Iran",0.0383,16,0.0388,16,0.0079,96
"17","Russia",0.0368,17,0.0372,17,0.0062,137
"18","South Sudan",0.0368,18,0.0369,18,0.0587,2
"19","Philippines",0.0367,19,0.0364,19,0.0206,14
"20","Iraq",0.0351,20,0.0355,20,0.0198,17
"21","Turkey",0.0335,21,0.0337,22,0.0077,101
"22","Mali",0.033,22,0.0338,21,0.0196,18
"23","Tajikistan",0.0309,23,0.0313,23,0.0113,60
"24","Egypt",0.0307,24,0.0308,24,0.009,78
"25","Rwanda",0.0301,25,0.0305,25,0.0119,55
"26","Somalia",0.0287,26,0.0293,26,0.0411,5
"27","Mozambique",0.0278,27,0.0281,27,0.017,25
"28","Angola",0.0277,28,0.0277,28,0.0167,27
"29","Uganda",0.027,29,0.027,30,0.0122,52
"30","Republic of Congo",0.0269,30,0.0268,31,0.0122,51
"31","Central African Republic",0.0267,31,0.0272,29,0.0421,4
"32","China",0.0266,32,0.0267,32,0.0066,120
"33","Ivory Coast",0.0264,33,0.0265,33,0.0174,24
"34","Laos",0.0256,34,0.0256,34,0.0129,44
"35","South Africa",0.0243,35,0.0243,35,0.012,54
"36","Malawi",0.024,36,0.0238,36,0.0124,48
"37","Thailand",0.0238,37,0.0236,38,0.0069,114
"38","Cambodia",0.0234,38,0.0236,37,0.0101,68
"39","Jordan",0.0229,39,0.0229,39,0.0084,90
"40","Burundi",0.0216,40,0.022,41,0.0137,38
"41","Nepal",0.0216,41,0.022,40,0.0107,65
"42","Cameroon",0.0216,42,0.0218,42,0.0164,28
"43","Syria",0.0212,43,0.0218,43,0.028,11
"44","Eritrea",0.0212,44,0.0216,44,0.0118,58
"45","Tanzania",0.0201,45,0.0204,45,0.0122,50
"46","Algeria",0.0198,46,0.0198,46,0.0098,69
"47","Guinea-Bissau",0.0188,47,0.0191,47,0.0168,26
"48","Sierra Leone",0.018,48,0.0184,48,0.0223,12
"49","Liberia",0.0168,49,0.0171,49,0.0185,20
"50","Kenya",0.0165,50,0.017,50,0.0124,47
"51","Democratic Republic of Vietnam",0.016,51,0.0165,51,0.0091,76
"52","Zimbabwe",0.0158,52,0.0159,52,0.0132,39
"53","Gabon",0.0155,53,0.0158,53,0.0119,56
"54","Papua New Guinea",0.0149,54,0.0151,55,0.013,41
"55","Madagascar",0.0147,55,0.015,56,0.0159,29
"56","Libya",0.0147,56,0.0151,54,0.0094,72
"57","Colombia",0.0137,57,0.014,57,0.0079,98
"58","Equatorial Guinea",0.0134,58,0.0139,58,0.0177,22
"59","Mauritania",0.0134,59,0.0138,59,0.0127,45
"60","Morocco",0.0126,60,0.0127,61,0.009,80
"61","Kyrgystan",0.0125,61,0.0128,60,0.0089,81
"62","Senegal",0.0118,62,0.0124,62,0.0112,61
"63","Togo",0.0113,63,0.0117,63,0.015,32
"64","Ukraine",0.0112,64,0.0117,64,0.0069,115
"65","Uzbekistan",0.0111,65,0.0116,65,0.0082,93
"66","Bahrain",0.0111,66,0.0114,66,0.0067,117
"67","North Korea",0.011,67,0.0112,67,0.0178,21
"68","Georgia",0.011,68,0.0111,68,0.0075,106
"69","Peru",0.0106,69,0.0109,70,0.0083,91
"70","Nicaragua",0.0106,70,0.011,69,0.0085,88
"71","Bosnia and Herzegovina",0.0104,71,0.0105,72,0.0067,118
"72","Zambia",0.0103,72,0.0107,71,0.0143,33
"73","Djibouti",0.0099,73,0.0103,73,0.0139,37
"74","Azerbaijan",0.0093,74,0.0094,74,0.0091,77
"75","Venezuela",0.009,75,0.0094,75,0.0093,75
"76","Lebanon",0.0089,76,0.0092,77,0.0093,74
"77","Sri Lanka",0.0089,77,0.0092,76,0.0066,121
"78","Namibia",0.0081,78,0.0083,78,0.0119,57
"79","Mexico",0.008,79,0.0083,79,0.008,95
"80","Argentina",0.0077,80,0.008,80,0.0077,102
"81","Brazil",0.0075,81,0.0079,81,0.0084,89
"82","Kazakhstan",0.0072,82,0.0074,83,0.0075,108
"83","United States of America",0.0072,83,0.0075,82,0.0067,119
"84","United Arab Emirates",0.0071,84,0.0073,84,0.0066,123
"85","Bhutan",0.0069,85,0.0073,85,0.0101,67
"86","El Salvador",0.0068,86,0.0072,86,0.0078,100
"87","Botswana",0.0064,87,0.0066,87,0.0121,53
"88","Fiji",0.0061,88,0.0063,88,0.0109,62
"89","Guatemala",0.006,89,0.0063,90,0.0097,70
"90","Israel",0.006,90,0.0063,89,0.0059,153
"91","Mauritius",0.0058,91,0.0059,91,0.0086,86
"92","Benin",0.0055,92,0.0058,92,0.0176,23
"93","South Korea",0.0055,93,0.0056,94,0.0056,159
"94","Eswatini",0.0054,94,0.0057,93,0.0142,34
"95","Ecuador",0.0053,95,0.0055,95,0.0078,99
"96","Hungary",0.0051,96,0.0052,97,0.006,144
