"","ewp_name","risk_1or2.from2023","risk_rank.from2023","risk_2023model","rank_2023model","rank_difference","risk_difference"
"1","Chad",0.1212,1,0.0972,1,0,0.024
"2","Sudan",0.1155,2,0.0583,5,-3,0.0572
"3","Burma/Myanmar",0.105,3,0.0401,9,-6,0.0649
"4","Pakistan",0.101,4,0.0626,4,0,0.0384
"5","India",0.0796,5,0.0749,2,3,0.00470000000000001
"6","Burkina Faso",0.067,6,0.0455,7,-1,0.0215
"7","Afghanistan",0.0659,7,0.0649,3,4,0.001
"8","Ethiopia",0.0643,8,0.0499,6,2,0.0144
"9","Nigeria",0.0599,9,0.0311,15,-6,0.0288
"10","Yemen",0.0583,10,0.0315,14,-4,0.0268
"11","Guinea",0.0582,11,0.045,8,3,0.0132
"12","Indonesia",0.0532,12,0.0265,18,-6,0.0267
"13","Bangladesh",0.0501,13,0.0359,10,3,0.0142
"14","Democratic Republic of Congo",0.0437,14,0.0249,21,-7,0.0188
"15","Iran",0.0409,15,0.0326,13,2,0.0083
"16","Niger",0.0395,16,0.0202,31,-15,0.0193
"17","South Sudan",0.0393,17,0.0028,83,-66,0.0365
"18","Iraq",0.0383,18,0.0207,30,-12,0.0176
"19","Philippines",0.035,19,0.0177,38,-19,0.0173
"20","Russia",0.0347,20,0.0307,16,4,0.004
"21","Mali",0.0331,21,0.0227,26,-5,0.0104
"22","Rwanda",0.0328,22,0.025,20,2,0.0078
"23","Turkey",0.0318,23,0.022,29,-6,0.0098
"24","Mozambique",0.0304,24,0.0226,27,-3,0.0078
"25","Tajikistan",0.0293,25,0.0201,33,-8,0.0092
"26","Egypt",0.0285,26,0.0177,36,-10,0.0108
"27","Somalia",0.0283,27,0.0164,41,-14,0.0119
"28","China",0.0275,28,0.034,11,17,-0.0065
"29","Laos",0.0269,29,0.0224,28,1,0.0045
"30","Angola",0.0263,30,0.0197,34,-4,0.0066
"31","Central African Republic",0.0262,31,0.0145,44,-13,0.0117
"32","Uganda",0.0258,32,0.0254,19,13,0.000400000000000001
"33","Republic of Congo",0.0258,33,0.0328,12,21,-0.007
"34","Thailand",0.0253,34,0.0238,24,10,0.0015
"35","Ivory Coast",0.0251,35,0.0188,35,0,0.0063
"36","Cambodia",0.025,36,0.0167,40,-4,0.0083
"37","Jordan",0.0244,37,0.0227,25,12,0.0017
"38","Burundi",0.0233,38,0.011,49,-11,0.0123
"39","Syria",0.0232,39,0.0147,43,-4,0.0085
"40","South Africa",0.0231,40,0.0247,22,18,-0.0016
"41","Malawi",0.0227,41,0.0169,39,2,0.0058
"42","Eritrea",0.0225,42,0.0084,56,-14,0.0141
"43","Tanzania",0.0219,43,0.0245,23,20,-0.0026
"44","Cameroon",0.0213,44,0.0114,47,-3,0.0099
"45","Nepal",0.0211,45,0.0284,17,28,-0.0073
"46","Algeria",0.0188,46,0.0177,37,9,0.0011
"47","Kenya",0.0188,47,0.0115,46,1,0.0073
"48","Liberia",0.0186,48,0.0202,32,16,-0.0016
"49","Guinea-Bissau",0.0186,49,0.007,60,-11,0.0116
"50","Sierra Leone",0.0177,50,0.0163,42,8,0.0014
"51","Gabon",0.0174,51,0.0072,58,-7,0.0102
"52","Democratic Republic of Vietnam",0.0171,52,0.011,48,4,0.0061
"53","Zimbabwe",0.0169,53,0.0096,53,0,0.0073
"54","Papua New Guinea",0.0163,54,0.0078,57,-3,0.0085
"55","Mauritania",0.0149,55,0.0104,51,4,0.0045
"56","Libya",0.0144,56,0.0139,45,11,5e-04
"57","Madagascar",0.0143,57,0.007,59,-2,0.0073
"58","Colombia",0.0136,58,0.0085,55,3,0.0051
"59","Equatorial Guinea",0.0133,59,0.0022,94,-35,0.0111
"60","Bahrain",0.0125,60,0.0052,65,-5,0.0073
"61","Kyrgystan",0.0123,61,0.0037,73,-12,0.0086
"62","Morocco",0.0122,62,0.0101,52,10,0.0021
"63","Senegal",0.012,63,0.0069,61,2,0.0051
"64","Togo",0.0115,64,0.0089,54,10,0.0026
"65","North Korea",0.0115,65,0.0032,77,-12,0.0083
"66","Ukraine",0.0111,66,0.0035,75,-9,0.0076
"67","Uzbekistan",0.0108,67,0.0031,79,-12,0.0077
"68","Georgia",0.0106,68,0.0031,78,-10,0.0075
"69","Zambia",0.0105,69,0.0064,63,6,0.0041
"70","Nicaragua",0.0104,70,0.0109,50,20,-5e-04
"71","Peru",0.0104,71,0.0065,62,9,0.0039
"72","Bosnia and Herzegovina",0.01,72,0.003,82,-10,0.007
"73","Lebanon",0.01,73,0.0051,66,7,0.0049
"74","Djibouti",0.01,74,0.0021,99,-25,0.0079
"75","Venezuela",0.009,75,0.0037,74,1,0.0053
"76","Azerbaijan",0.0089,76,0.0022,93,-17,0.0067
"77","Sri Lanka",0.0088,77,0.0041,71,6,0.0047
"78","Brazil",0.0087,78,0.0045,67,11,0.0042
"79","United States of America",0.0082,79,0.0044,68,11,0.0038
"80","Namibia",0.0081,80,0.0023,91,-11,0.0058
"81","Bhutan",0.0081,81,0.004,72,9,0.0041
"82","Mexico",0.008,82,0.0033,76,6,0.0047
"83","United Arab Emirates",0.0079,83,0.0028,84,-1,0.0051
"84","Argentina",0.0077,84,0.0063,64,20,0.0014
"85","Botswana",0.0074,85,0.0043,69,16,0.0031
"86","Kazakhstan",0.007,86,0.0014,112,-26,0.0056
"87","Israel",0.007,87,0.0031,80,7,0.0039
"88","Fiji",0.007,88,0.0022,96,-8,0.0048
"89","El Salvador",0.0069,89,0.0042,70,19,0.0027
"90","Eswatini",0.0062,90,0.0014,113,-23,0.0048
"91","Guatemala",0.0061,91,0.0025,87,4,0.0036
"92","Mauritius",0.0059,92,0.0027,86,6,0.0032
"93","Comoros",0.0059,93,0.0024,90,3,0.0035
"94","Benin",0.0057,94,0.0021,98,-4,0.0036
"95","Haiti",0.0056,95,0.0018,104,-9,0.0038
"96","Ecuador",0.0054,96,0.0021,97,-1,0.0033
"97","South Korea",0.0054,97,0.003,81,16,0.0024
"98","Timor-Leste",0.0052,98,0.0011,121,-23,0.0041
"99","Honduras",0.0051,99,0.0019,101,-2,0.0032
"100","Malaysia",0.0049,100,0.0015,110,-10,0.0034
"101","Hungary",0.0049,101,0.002,100,1,0.0029
"102","Ghana",0.0049,102,0.0022,95,7,0.0027
"103","Romania",0.0048,103,0.0024,89,14,0.0024
"104","Saudi Arabia",0.0048,104,0.0017,106,-2,0.0031
"105","Paraguay",0.0047,105,0.0019,102,3,0.0028
"106","Serbia",0.0047,106,0.0016,107,-1,0.0031
"107","Panama",0.0047,107,0.0018,105,2,0.0029
"108","Canada",0.0047,108,0.0028,85,23,0.0019
"109","Turkmenistan",0.0046,109,0.001,122,-13,0.0036
"110","Poland",0.0046,110,0.0022,92,18,0.0024
"111","Maldives",0.0045,111,0.0024,88,23,0.0021
"112","United Kingdom",0.0043,112,0.0014,111,1,0.0029
"113","Japan",0.0042,113,0.0016,108,5,0.0026
"114","Croatia",0.0041,114,7e-04,145,-31,0.0034
"115","Czech Republic",0.0039,115,9e-04,134,-19,0.003
"116","Cyprus",0.0038,116,0.0018,103,13,0.002
"117","Chile",0.0038,117,0.0014,114,3,0.0024
"118","The Gambia",0.0037,118,0.001,128,-10,0.0027
"119","Guyana",0.0037,119,6e-04,147,-28,0.0031
"120","Slovakia",0.0036,120,7e-04,140,-20,0.0029
"121","Germany",0.0036,121,0.0012,117,4,0.0024
"122","Dominican Republic",0.0036,122,0.0016,109,13,0.002
"123","France",0.0035,123,0.0012,118,5,0.0023
"124","Spain",0.0035,124,0.0013,116,8,0.0022
"125","Kuwait",0.0032,125,7e-04,146,-21,0.0025
"126","Italy",0.0032,126,0.0011,120,6,0.0021
"127","Lesotho",0.0032,127,0.001,124,3,0.0022
"128","Belarus",0.0032,128,6e-04,148,-20,0.0026
"129","Greece",0.0031,129,0.001,125,4,0.0021
"130","Mongolia",0.0031,130,0.001,126,4,0.0021
"131","Australia",0.0031,131,0.0013,115,16,0.0018
"132","Singapore",0.003,132,8e-04,139,-7,0.0022
"133","Moldova",0.003,133,3e-04,154,-21,0.0027
"134","New Zealand",0.003,134,9e-04,133,1,0.0021
"135","Oman",0.003,135,8e-04,138,-3,0.0022
"136","Suriname",0.0028,136,4e-04,152,-16,0.0024
"137","Switzerland",0.0028,137,9e-04,131,6,0.0019
"138","Qatar",0.0027,138,6e-04,149,-11,0.0021
"139","Netherlands",0.0027,139,9e-04,129,10,0.0018
"140","Bolivia",0.0027,140,5e-04,150,-10,0.0022
"141","Tunisia",0.0026,141,0.001,127,14,0.0016
"142","Belgium",0.0026,142,9e-04,130,12,0.0017
"143","Macedonia",0.0026,143,3e-04,158,-15,0.0023
"144","Portugal",0.0025,144,9e-04,132,12,0.0016
"145","Austria",0.0024,145,0.0011,119,26,0.0013
"146","Kosovo",0.0024,146,2e-04,166,-20,0.0022
"147","Sweden",0.0024,147,8e-04,135,12,0.0016
"148","Bulgaria",0.0023,148,8e-04,137,11,0.0015
"149","Albania",0.0023,149,8e-04,136,13,0.0015
"150","Solomon Islands",0.0022,150,2e-04,164,-14,0.002
"151","Denmark",0.0021,151,7e-04,142,9,0.0014
"152","Armenia",0.0021,152,3e-04,155,-3,0.0018
"153","Ireland",0.0021,153,7e-04,141,12,0.0014
"154","Cuba",0.0021,154,0.001,123,31,0.0011
"155","Finland",0.002,155,7e-04,143,12,0.0013
"156","Norway",0.0019,156,7e-04,144,12,0.0012
"157","Lithuania",0.0019,157,3e-04,156,1,0.0016
"158","Latvia",0.0018,158,3e-04,157,1,0.0015
"159","Cape Verde",0.0017,159,2e-04,165,-6,0.0015
"160","Slovenia",0.0017,160,2e-04,163,-3,0.0015
"161","Trinidad and Tobago",0.0017,161,2e-04,162,-1,0.0015
"162","Estonia",0.0016,162,3e-04,161,1,0.0013
"163","Luxembourg",0.0015,163,1e-04,168,-5,0.0014
"164","Jamaica",0.0015,164,3e-04,160,4,0.0012
"165","Costa Rica",0.0015,165,4e-04,151,14,0.0011
"166","Montenegro",0.0014,166,1e-04,167,-1,0.0013
"167","Malta",0.0014,167,3e-04,159,8,0.0011
"168","Uruguay",0.0012,168,4e-04,153,15,8e-04
