"","country","year","ccode","X","mean_mk_onset","mk_onset_prev_year","year_sq","mk_ever","mk_ongoing_count_log","newcountry","widetargeting","narrowtargeting","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage_new_ln","wdi.popsize.log2","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","battledeaths.ln2","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.log2.combined","coup.try.5yr","efindex","discrimpop","partyban.new.0","partyban.new.1","partyban.new.2","v2csgender_binary","v2mecenefm_binary","imr.fwd.fill.sqrt","mk_onset","mk_onset_1","mk_onset_2","mk_onset_1or2","year_l1","year_sq_l1","reg.na"
"1","Yemen (Arab Republic of Yemen)",1963,678,8030,0.0555555555555556,1,3853369,1,1,0,1,0,0,0,0,1,0,4.24792751344359,22.482517733314,0.01,0,0,0,0,1,1,0,0.073,1,0,0,1,0.097,-4.50843464033594,1,0.177,0.01,1,0,0,1,1,16.6793285236547,0,0,0,0,1962,3849444,0
"2","Yemen (Arab Republic of Yemen)",1964,678,8031,0.0526315789473684,0,3857296,1,1,0,1,0,0,0,0,1,0,4.32192809488736,22.5102182315445,0.01,0,0,0,0,1,1,0,0.13,1,0,0,1,0.097,-4.50843464033594,1,0.175,0.01,1,0,0,1,1,16.4924225024706,0,0,0,0,1963,3853369,0
"3","Yemen (Arab Republic of Yemen)",1965,678,8032,0.05,0,3861225,1,1,0,1,0,0,0,0,1,0,4.39231742277876,22.5397386274747,0.01,0,0,0,0,1,1,0,0.13,1,0,0,1,0.097,-4.50843464033594,1,0.174,0.01,1,0,0,1,1,16.2818917819767,0,0,0,0,1964,3857296,0
"4","Yemen (Arab Republic of Yemen)",1966,678,8033,0.0476190476190476,0,3865156,1,1,0,1,0,0,0,0,1,0,4.4594316186373,22.5704371183418,0.01,0,0,0,0,1,1,0,0.13,1,0,0,1,0.097,-4.50843464033594,1,0.173,0.01,1,0,0,1,1,16.0436903485451,0,0,0,0,1965,3861225,0
"5","Yemen (Arab Republic of Yemen)",1967,678,8034,0.0454545454545455,0,3869089,1,1,0,1,0,0,0,0,1,0,4.52356195605701,22.6024120769564,0.01,0,0,0,0,1,1,0,0.13,1,0,0,1,0.097,-4.50843464033594,1,0.172,0.01,1,0,0,1,1,15.7797338380595,0,0,0,0,1966,3865156,0
"6","Yemen (Arab Republic of Yemen)",1968,678,8035,0.0434782608695652,0,3873024,1,1,0,1,0,0,0,0,1,0,4.58496250072116,22.6355339178555,0.01,0,0,0,0,1,1,0,0.145,1,0,0,1,0.097,-4.50843464033594,1,0.171,0.01,1,0,0,1,1,15.4951605348251,0,0,0,0,1967,3869089,0
"7","Yemen (Arab Republic of Yemen)",1969,678,8036,0.0416666666666667,0,3876961,1,1,0,1,0,0,0,0,1,0,4.64385618977472,22.6701161486756,0.01,0,0,0,0,1,1,0,0.145,1,0,0,1,0.097,-4.50843464033594,1,0.17,0.01,1,0,0,1,1,15.201973556088,0,0,0,0,1968,3873024,0
"8","Yemen (Arab Republic of Yemen)",1970,678,8037,0.04,0,3880900,1,1,0,1,0,0,0,0,1,0,4.70043971814109,22.7063254835305,0.18,0,0,0,0,1,1,0,0.145,1,0,0,1,0.097,-8.42438419549738,1,0.169,0.01,1,0,0,1,1,14.9030198282093,0,0,0,0,1969,3876961,0
"9","Yemen (Arab Republic of Yemen)",1971,678,8038,0.0384615384615385,0,3884841,1,0,0,0,0,0,0,0,1,0,4.75488750216347,22.7439016710714,0.15,0,0,0,0,1,1,0,0.145,1,0,0,1,0.097,-8.44963823462129,1,0.168,0.01,1,0,0,1,1,14.6116391962025,0,0,0,0,1970,3880900,0
"10","Yemen (Arab Republic of Yemen)",1972,678,8039,0.037037037037037,0,3888784,1,0,0,0,0,0,0,0,1,0,4.8073549220576,22.7827349190866,0.06,0,0,0,0,1,1,0,0.145,1,0,0,1,0.097,-7.44222629073905,0,0.166,0.01,1,0,0,1,1,14.3317828618773,0,0,0,0,1971,3884841,0
