Variable,OD_DropOutTime,OD_DropOutOrder
minorityrule,-8.91563738622653,1
v2mecenefm_binary,-8.54350242170224,2
widetargeting,-8.26440119830902,3
reg.mna,-8.26440119830902,4
religiousfreedom,-8.07833371604688,5
includesnonstate,-8.07833371604688,6
freediscussion,-7.70619875152259,7
reg.eap,-7.14799630473615,8
countryage_new_ln,-6.86889508134293,9
offset_decay,-6.77586134021186,10
v2csgender_binary,-6.49676011681864,11
gdppcgrowth.combined,-6.40372637568757,12
judicialreform,-6.3106926345565,13
reg.eur,-6.21765889342543,14
social_inequality,-6.12462515229435,15
repress_civilsoc,-6.12462515229435,16
mk_onset_prev_year,-6.03159141116328,17
tradeshare.log2.combined,-5.56642270550792,18
year,-5.56642270550792,19
partyban.new.0,-5.47338896437685,20
year_sq,-5.47338896437685,21
social_power_dist,-5.00822025872148,22
efindex,-5.00822025872148,23
ses_power_dist,-4.91518651759041,24
newcountry,-4.91518651759041,25
ios.iccpr1,-4.82215277645934,26
reg.na,-4.63608529419719,27
narrowtargeting,-4.2639503296729,28
reg.sca,-4.2639503296729,29
battledeaths.ln2,-4.07788284741076,30
partyban.new.1,-3.98484910627968,31
wdi.popsize.log2,-3.98484910627968,32
discrimpop,-3.89181536514861,33
pol_killing_approved,-3.79878162401754,34
coup.try.5yr,-3.70574788288647,35
mean_mk_onset_interaction,-3.70574788288647,36
mk_ever,-3.70574788288647,37
even_civilrights,-3.61271414175539,38
mk_ongoing_count_log,-3.51968040062432,39
imr.fwd.fill.sqrt,-3.42664665949325,40
partyban.new.2,,41
