Variable,Reg_DropOutTime,Reg_DropOutOrder
reg.eap,-9.12356397076497,1
v2mecenefm_binary,-8.56536152397854,2
includesnonstate,-8.56536152397854,3
minorityrule,-8.47232778284746,4
freediscussion,-8.47232778284746,5
widetargeting,-8.10019281832317,6
reg.mna,-8.10019281832317,7
religiousfreedom,-7.35592288927459,8
countryage.new.log2,-6.9837879247503,9
v2csgender_binary,-6.61165296022601,10
gdppcgrowth,-6.42558547796387,11
judicialreform,-6.23951799570172,12
repress_civilsoc,-6.05345051343958,13
reg.eur,-6.05345051343958,14
social_inequality,-5.9604167723085,15
mk_onset_prev_year,-5.86738303117743,16
year,-5.58828180778421,17
partyban.new.0,-5.49524806665314,18
year_sq,-5.49524806665314,19
social_power_dist,-5.03007936099778,20
efindex,-5.03007936099778,21
ses_power_dist,-4.84401187873563,22
ios.iccpr1,-4.84401187873563,23
newcountry,-4.75097813760456,24
reg.na,-4.65794439647349,25
narrowtargeting,-4.2858094319492,26
reg.sca,-4.2858094319492,27
battledeaths.log2,-4.09974194968705,28
partyban.new.1,-4.00670820855598,29
popsize.log2,-3.91367446742491,30
discrimpop,-3.91367446742491,31
pol_killing_approved,-3.82064072629384,32
coup.try.5yr,-3.72760698516276,33
mean_mk_onset_interaction,-3.72760698516276,34
mk_ever,-3.72760698516276,35
even_civilrights,-3.63457324403169,36
mk_ongoing_count_log2,-3.54153950290062,37
un_imr_sqrt,-3.44850576176954,38
partyban.new.2,,39
