Variable,Reg_DropOutTime,Reg_DropOutOrder
govcensorship,-9.47383983301296,1
freediscussion,-8.63653616283331,2
widetargeting,-8.07833371604688,3
includesnonstate,-8.07833371604688,4
religiousfreedom,-7.61316501039151,5
countryage_new_ln,-6.96192882247401,6
reg.eap,-6.68282759908079,7
womencivsoc,-6.40372637568757,8
wdi.gdppcgrow.new.combined,-6.3106926345565,9
judicialreform,-6.21765889342543,10
reg.eur,-6.21765889342543,11
social_inequality,-6.12462515229435,12
repress_civilsoc,-6.12462515229435,13
mean_mk_onset,-6.03159141116328,14
mk_onset_prev_year,-6.03159141116328,15
wdi.trade.new.log2.combined,-5.56642270550792,16
partyban.new.0,-5.47338896437685,17
year_sq,-5.47338896437685,18
social_power_dist,-5.00822025872148,19
efindex,-5.00822025872148,20
newcountry,-4.91518651759041,21
ses_power_dist,-4.82215277645934,22
ios.iccpr1,-4.82215277645934,23
reg.na,-4.63608529419719,24
narrowtargeting,-4.2639503296729,25
reg.sca,-4.2639503296729,26
battledeaths.ln2,-4.07788284741076,27
partyban.new.1,-3.98484910627968,28
wdi.popsize.log2.combined,-3.98484910627968,29
discrimpop,-3.89181536514861,30
pol_killing_approved,-3.79878162401754,31
coup.try.5yr,-3.70574788288647,32
mk_ever,-3.70574788288647,33
even_civilrights,-3.61271414175539,34
mk_ongoing_count_log,-3.51968040062432,35
un_imr_sqrt,-3.42664665949325,36
partyban.new.2,,37
minorityrule,,38
reg.mna,,39
