"","country","risk.2023and2024.from2022","rank.2023and2024.from2022","risk.2023only.from2022","riskrank.2023only.from2022","risk.2022and2023.from2021","rank.2022and2023.from2021","mean_mk_onset","mk_onset_prev_year","year","year_sq","mk_ever","mk_ongoing_count_log","newcountry","widetargeting","narrowtargeting","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage_new_ln","wdi.popsize.log2","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","battledeaths.ln2","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.log2.combined","coup.try.5yr","efindex","discrimpop","partyban.new.0","partyban.new.1","partyban.new.2","v2csgender_binary","v2mecenefm_binary","imr.fwd.fill.sqrt","ccode","year_l1","year_sq_l1"
"1","Afghanistan",0.06531,1,0.03348,6,0.06471,2,0.051948051948052,0,2022,4088484,1,0,0,0,0,0,0,0,0,1,6.28540221886225,25.2936446264292,-0.178322624715623,0,1,1,9.73640193131829,1,0,1,0.058,1,0,1,1,-1.57,-1.31321406698166,0,0.763,0,1,0,0,1,1,6.38492545193384,700,2021,4084441
"2","Pakistan",0.06103,2,0.0396,2,0.06046,3,0.0266666666666667,0,2022,4088484,1,1,0,1,0,0,0,0,0,1,6.24792751344359,27.8131405825621,0.0408377100812588,0,1,0,9.40514146313635,1,1,0,0.672,0,0,0,1,-0.431,-4.09953308925965,0,0.748,0.055,0,0,1,0,0,7.25909440179289,770,2021,4084441
"3","Yemen (unified)",0.05871,3,0.03879,4,0.05806,5,0,0,2022,4088484,1,0,0,0,0,0,0,0,1,0,5.04439411935845,25.0061002938729,-0.0255035103880795,0,1,1,11.5018371849023,1,0,1,0.286,1,0,0,1,-0.871,-3.37709372312552,0,0.126,0.01,0,0,1,0,1,6.67465268422379,679,2021,4084441
"4","Sudan",0.05668,4,0.03964,1,0.05815,4,0.0454545454545455,0,2022,4088484,1,1,0,1,0,1,0,0,0,0,6.06608919045777,25.482290855614,-0.00766140394474436,0,1,1,5.58496250072115,1,2,0,0.436,0,0,0,1,1.269,-8.05131798821619,1,0.746,0.120000005,0,1,0,0,1,5.97498334630576,625,2021,4084441
"5","India",0.0528,5,0.03573,5,0.0549,6,0.04,0,2022,4088484,1,1,0,1,0,0,0,0,0,1,6.24792751344359,30.4003689146862,0.0647644568507517,0,1,0,8.2807707701306,1,3,0,0.617,0,0,0,1,-0.033,-3.42516572620445,0,0.42,0.119500004,0,0,1,0,1,5.00227658039408,750,2021,4084441
"6","Ethiopia",0.051,6,0.03893,3,0.04344,8,0.0649350649350649,0,2022,4088484,1,1.58496250072116,0,0,1,1,0,0,0,0,6.28540221886225,26.8785324218039,0.0376199746412927,0,1,1,16.6252236781154,2,3,0,0.533,0,0,0,1,0.577,-4.41155350572899,0,0.783,0,0,0,1,0,1,5.41397470910213,530,2021,4084441
"7","Guinea",0.04463,7,0.02526,9,0.04397,7,0.015625,0,2022,4088484,1,0,0,0,0,1,0,0,0,0,6.02236781302845,23.7243553243826,0.0170067987099248,1,1,0,0,1,3,0,0.325,0,0,0,1,-0.208,-2.18708794747638,1,0.727,0,0,1,0,0,0,7.52990356403912,438,2021,4084441
"8","Somalia",0.03846,8,0.02529,8,0.03966,10,0.0483870967741935,0,2022,4088484,1,1,0,1,0,1,0,0,0,0,5.97727992349992,24.0688680520575,0.0187384585963205,1,1,0,11.567480801143,1,1,1,0.609,0,0,0,0,-0.433,-2.18371353446907,0,0.222,0,0,0,1,1,1,8.41786505002062,520,2021,4084441
"9","Bangladesh",0.0363,9,0.01658,19,0.04226,9,0.0392156862745098,0,2022,4088484,1,0,0,0,0,0,0,0,0,1,5.70043971814109,27.3509926136966,0.0482900751393958,0,1,0,0,1,4,0,0.288,0,0,0,0,-2.62,-4.02924185797622,0,0.025,0.111999996,0,1,0,0,1,4.54441622265699,771,2021,4084441
"10","Tajikistan",0.03471,10,0.01759,14,0.02236,30,0.032258064516129,0,2022,4088484,1,0,0,0,0,0,0,0,0,1,5,23.2466691380027,0.0668325014972704,1,1,1,0,1,1,1,0.045,0,0,0,1,-1.988,-2.82856641258154,0,0.367,0,0,1,0,0,1,5.08120540679088,702,2021,4084441
